series_id,check_timestamp,data_available,response_time_ms,record_count,last_period,error_message
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.JB.levels.Q,2025-07-13T17:39:00.528375,1,375,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.JA.levels.Q,2025-07-13T17:39:00.495309,1,372,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.JC.levels.Q,2025-07-13T17:39:00.537000,1,354,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.KZ.levels.Q,2025-07-13T17:39:00.583796,1,366,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.LZ.levels.Q,2025-07-13T17:39:00.662474,1,376,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.MA.levels.Q,2025-07-13T17:39:00.748910,1,378,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.MC.levels.Q,2025-07-13T17:39:00.806067,1,352,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.MB.levels.Q,2025-07-13T17:39:00.829713,1,411,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.N29.levels.Q,2025-07-13T17:39:00.867175,1,377,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.N41.levels.Q,2025-07-13T17:39:00.938406,1,353,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.N30.levels.Q,2025-07-13T17:39:00.939035,1,390,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.N42.levels.Q,2025-07-13T17:39:01.004478,1,387,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.N43.levels.Q,2025-07-13T17:39:01.028003,1,379,108,,
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_seasonally_adjusted.N45.levels.Q,2025-07-13T17:39:01.093283,1,381,108,,
