series_id,dimension_key,dimension_value,scraped_at
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.JA.levels.Q,sector,JA,2025-07-13T17:38:58.075153
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.JC.levels.Q,freq,Q,2025-07-13T17:38:58.107168
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.JC.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:58.107306
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.JC.levels.Q,measurement,levels,2025-07-13T17:38:58.107316
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.JC.levels.Q,sector,JC,2025-07-13T17:38:58.107321
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.KZ.levels.Q,freq,Q,2025-07-13T17:38:58.156556
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.KZ.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:58.156634
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.KZ.levels.Q,measurement,levels,2025-07-13T17:38:58.156641
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.KZ.levels.Q,sector,KZ,2025-07-13T17:38:58.156645
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.LZ.levels.Q,freq,Q,2025-07-13T17:38:58.183257
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.LZ.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:58.183344
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.LZ.levels.Q,measurement,levels,2025-07-13T17:38:58.183353
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.LZ.levels.Q,sector,LZ,2025-07-13T17:38:58.183358
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.MA.levels.Q,freq,Q,2025-07-13T17:38:58.215436
ACOSS/ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT/payroll_not_seasonally_adjusted.MA.levels.Q,indicator,payroll_not_seasonally_adjusted,2025-07-13T17:38:58.215514
